pop	clust1	clust2	clust3	clust4
half	0.2785	0.1035	0.4518	0.1662
half	0.2086	0.0590	0.5269	0.2055
half	0.1423	0.0226	0.7620	0.0731
half	0.1565	0.0978	0.0609	0.6848
half	0.2553	0.0678	0.3956	0.2814
half	0.4494	0.0659	0.2472	0.2376
half	0.1810	0.0484	0.5596	0.2109
half	0.3215	0.4564	0.0629	0.1592
half	0.2400	0.0759	0.2178	0.4664
half	0.2344	0.0708	0.3918	0.3031
half	0.0620	0.0625	0.8198	0.0557
half	0.1491	0.2231	0.3374	0.2904
half	0.2018	0.0757	0.2929	0.4296
half	0.4148	0.1605	0.1077	0.3169
half	0.1072	0.6064	0.1529	0.1335
half	0.0527	0.2902	0.5694	0.0876
half	0.3653	0.0496	0.0903	0.4948
half	0.1959	0.0494	0.0741	0.6806
half	0.1729	0.0391	0.3239	0.4641
half	0.4338	0.1675	0.0527	0.3460
half	0.6408	0.1160	0.0612	0.1820
half	0.2629	0.3137	0.1589	0.2645
half	0.1798	0.2245	0.3670	0.2287
half	0.1824	0.0191	0.2818	0.5167
